species_plant,mico,,,,
Anthemis arvensis,AM,,,,
Anthemis cotula,AM,,,,
Anthemis iberica,NM,,,,
Anthemis marschalliana,AM,,,,
Anthemis rigescens,AM,,,,
Anthemis sosnovskyana,AM,,,,
Anthericum ramosum,AMNM,,,,
Anthocleista schweinfurthii,AM,,,,
Anthonotha fragrans,EM,,,,
Anthonotha macrophylla,EM,,,,
Anthoxanthum arcticum,AM,,,,
Anthoxanthum australe,AM,,,,
Anthoxanthum monticola,AMNM,,,,
Anthoxanthum odoratum,AMNM,,,,
Anthriscus cerefolium,AM,,,,
Anthriscus ruprechtii,AM,,,,
Anthriscus sylvestris,AMNM,,,,
Anthurium affine,AM,,,,
Anthurium pentaphyllum,AM,,,,
Anthurium pittieri,AM,,,,
Anthyllis cytisoides,AM,,,,
Anthyllis macrocephala,AM,,,,
Anthyllis tetraphylla,AM,,,,
Anthyllis variegata,AM,,,,
Anthyllis vulneraria,AMNM,,,,
Antirrhinum majus,AM,,,,
Antrocaryon klaineanum,AM,,,,
Apeiba echinata,AM,,,,
Apera spica-venti,AMNM,,,,
Aphanes arvensis,AM,,,,
Aphanocalyx cynometroides,EM,,,,
Apinus pinea,EM,,,,
Apium graveolens,AM,,,,
Apium nodiflorum,NM,,,,
Apocynum cannabinum,AM,,,,
Apocynum medium,AM,,,,
Aquilegia olympica,AM,,,,
Aquilegia vulgaris,AMNM,,,,
Arabidopsis arenosa,AM,,,,
Arabidopsis lyrata,NM,,,,
Arabidopsis thaliana,NM,,,,
Arabis alpina,NM,,,,
Arabis caerulea,NM,,,,
Arabis hirsuta,AMNM,,,,
Arachis hypogaea,AM,,,,
Aralia elata,AMNM,,,,
Araucaria angustifolia,AM,,,,
Araucaria bidwillii,AM,,,,
Araucaria columnaris,AM,,,,
Araucaria cunninghamii,AM,,,,
Arbutus menziesii,EM,,,,
Arbutus unedo,EM,,,,
Arceuthos drupaceae,AM,,,,
Arctagrostis latifolia,AM,,,,
Arctium lappa,AMNM,,,,
Arctium minus,AM,,,,
Arctium nemorosum,AM,,,,
Arctophila fulva,AMNM,,,,
Arctostaphylos uva-ursi,EM,,,,
Arctous alpina,EM,,,,
Ardisia crenata,AM,,,,
Ardisia thyrsiflora,AM,,,,
Arenaria griffithii,NM,,,,
Arenaria serpyllifolia,NM,,,,
Argania spinosa,AM,,,,
Argemone mexicana,AM,,,,
Argusia sogdiana,NM,,,,
Aristida adscensionis,AM,,,,
Aristida contorta,AM,,,,
Aristida holathera,NM,,,,
Aristida mutabilis,AM,,,,
Aristida purpurascens,AM,,,,
Aristida purpurea,AM,,,,
Aristida stricta,NM,,,,
Aristotelia chilensis,AM,,,,
Armeniaca mandshurica,NM,,,,
Armeniaca vulgaris,AM,,,,
Armenoprunus dasycarpa,NM,,,,
Armeria arenaria,AM,,,,
Armeria maritima,AMNM,,,,
Armoracia rusticana,AMNM,,,,
Arnebia decumbens,AM,,,,
Arnebia echioides,AMNM,,,,
Arnebia hispidissima,AM,,,,
Arnica angustifolia,AM,,,,
Arnica montana,AM,,,,
Arrhenatherum elatius,AMNM,,,,
Artemisia absinthium,AMNM,,,,
Artemisia alpina,AM,,,,
Artemisia annua,AM,,,,
Artemisia aralensis,AM,,,,
Artemisia arenaria,AM,,,,
Artemisia armeniaca,AM,,,,
Artemisia borealis,NM,,,,
Artemisia californica,AM,,,,
Artemisia campestris,AM,,,,
Artemisia dracunculus,AM,,,,
Artemisia frigida,AM,,,,
Artemisia latifolia,AM,,,,
Artemisia lavandulifolia,AM,,,,
Artemisia leucodes,AM,,,,
Artemisia ludoviciana,AM,,,,
Artemisia maritima,AMNM,,,,
Artemisia marschalliana,AM,,,,
Artemisia pauciflora,AM,,,,
Artemisia pontica,AM,,,,
Artemisia princeps,AM,,,,
Artemisia procera,AM,,,,
Artemisia quinqueloba,AM,,,,
Artemisia rupestris,AM,,,,
Artemisia scoparia,AM,,,,
Artemisia sericea,AM,,,,
Artemisia songarica,AM,,,,
Artemisia tilesii,AM,,,,
Artemisia tomentella,AM,,,,
Artemisia tridentata,AM,,,,
Artemisia turanica,AMNM,,,,
Artemisia umbelliformis,AM,,,,
Artemisia vulgaris,AMNM,,,,
Arthraxon hispidus,AM,,,,
Arthrophytum pulvinatum,NM,,,,
Artocarpus altilis,AM,,,,
Arum italicum,AM,,,,
Arum maculatum,AM,,,,
Arum neglectum,AM,,,,
Arundinella hirta,AM,,,,
Arundo donax,AM,,,,
Asarum europaeum,AMNM,,,,
Asclepias incarnata,AM,,,,
Asclepias syriaca,AM,,,,
Asclepias tuberosa,AM,,,,
Asclepias verticillata,AM,,,,
Asparagus acutifolius,AM,,,,
Asparagus breslerianus,AM,,,,
Asparagus densiflorus,AM,,,,
Asparagus inderiensis,AM,,,,
Asparagus officinalis,AM,,,,
Asparagus setaceus,AM,,,,
Asperugo procumbens,AMNM,,,,
Asperula cynanchica,AM,,,,
Asperula danilewskiana,NM,,,,
Asperula prostrata,NM,,,,
Asphodelus fistulosus,AM,,,,
Aspidistra elatior,AM,,,,
Aspidosperma oblongum,AM,,,,
Aspidosperma parvifolium,AMNM,,,,
Aspidosperma polyneuron,AMNM,,,,
Asplundia gardneri,NM,,,,
Astelia menziesiana,AM,,,,
Aster alpinus,AMNM,,,,
Aster amellus,AM,,,,
Aster biennis,AM,,,,
Aster lanceolatus,AM,,,,
Astracantha aurea,AM,,,,
Astragalus alatavicus,AM,,,,
Astragalus alopecias,AM,,,,
Astragalus alpinus,NM,,,,
Astragalus applegatei,AM,,,,
Astragalus arpilobus,AM,,,,
Astragalus bornmuellerianus,AM,,,,
Astragalus brachypus,AM,,,,
Astragalus captiosus,AM,,,,
Astragalus cicer,AM,,,,
Astragalus contortuplicatus,AM,,,,
Astragalus crassicarpus,AM,,,,
Astragalus danicus,AMNM,,,,
Astragalus deserti,NM,,,,
Astragalus filicaulis,AM,,,,
Astragalus flexus,AM,,,,
Astragalus frigidus,NM,,,,
Astragalus glycyphyllos,NM,,,,
Astragalus jagnobicus,AM,,,,
Astragalus lasioglottis,AM,,,,
Astragalus lasiosemius,AM,,,,
Astragalus lehmannianus,NM,,,,
Astragalus macrostachys,AM,,,,
Astragalus monspessulanus,AMNM,,,,
Astragalus onobrychis,AM,,,,
Astragalus paucijugus,AM,,,,
Astragalus peduncularis,AM,,,,
Astragalus penduliflorus,AM,,,,
Astragalus supinus,NM,,,,
Astragalus testiculatus,AM,,,,
Astragalus turczaninowii,AM,,,,
Astragalus umbellatus,NM,,,,
Astragalus villosissimus,AM,,,,
Astragalus vulpinus,AM,,,,
Astrantia major,AMNM,,,,
Astrantia maxima,AM,,,,
Astrantia ossica,AM,,,,
Astrebla lappacea,AM,,,,
Astrocaryum mexicanum,AM,,,,
Astrodaucus orientalis,NM,,,,
Astronium graveolens,AM,,,,
Asyneuma campanuloides,AM,,,,
Asyneuma canescens,AM,,,,
Atamisquea emarginata,AM,,,,
Atocion rupestre,NM,,,,
Atraphaxis pyrifolia,NM,,,,
Atraphaxis spinosa,NM,,,,
Atriplex barclayana,AM,,,,
Atriplex cana,NM,,,,
Atriplex canescens,AM,,,,
Atriplex dimorphostegia,NM,,,,
Atriplex glabriuscula,NM,,,,
Atriplex halimus,NM,,,,
Atriplex hastata,NM,,,,
Atriplex hortensis,NM,,,,
Atriplex julacea,AM,,,,
Atriplex limbata,NM,,,,
Atriplex littoralis,AMNM,,,,
Atriplex patula,AM,,,,
Atriplex prostrata,NM,,,,
Atriplex rosea,NM,,,,
Atriplex sagittata,AMNM,,,,
Atriplex semibaccata,NM,,,,
Atriplex verrucifera,AM,,,,
Atriplex vesicaria,AM,,,,
Atropa belladonna,AM,,,,
Atropa bella-donna,AM,,,,
Aubrieta deltoidea,NM,,,,
Aucuba japonica,AM,,,,
Aulacospermum simplex,AM,,,,
Austrocedrus chilensis,AM,,,,
Autranella congolensis,AM,,,,
Avena barbata,AM,,,,
Avena fatua,AM,,,,
Avena nuda,AM,,,,
Avena sativa,AMNM,,,,
Avena sterilis,AM,,,,
Avena strigosa,AM,,,,
Axonopus anceps,AM,,,,
Azadirachta excelsa,AM,,,,
Azadirachta indica,AM,,,,
Azorella macquariensis,AM,,,,
Baccaurea ramiflora,AM,,,,
Baccharis halimifolia,AM,,,,
Baccharis racemosa,AM,,,,
Bactris gasipaes,AM,,,,
Baillonella toxisperma,AM,,,,
Balanites aegyptiacus,AM,,,,
Baldellia ranunculoides,AM,,,,
Balduina angustifolia,AM,,,,
Ballota nigra,AMNM,,,,
Banksia ericifolia,AM,,,,
Baphia nitida,AM,,,,
Baptisia alba,AM,,,,
Baptisia australis,AM,,,,
Baptisia bracteata,AM,,,,
Baptisia lactea,AM,,,,
Barbarea vulgaris,NM,,,,
Barleria cristata,AM,,,,
Barringtonia racemosa,AM,,,,
Bartsia alpina,AMNM,,,,
Bastardiopsis densiflora,AM,,,,
Batis maritima,NM,,,,
Batrachium fluitans,NM,,,,
Batrachium foeniculaceum,NM,,,,
Batrachium peltatum,NM,,,,
Bauhinia forficata,AM,,,,
Bauhinia guianensis,AM,,,,
Bebbia juncea,AM,,,,
Beckmannia syzigachne,AM,,,,
Becquerelia cymosa,AM,,,,
Begonia augustinei,AM,,,,
Begonia cathayana,AM,,,,
Begonia corallina,AM,,,,
Begonia diadema,AM,,,,
Begonia fusca,NM,,,,
Begonia maculata,AM,,,,
Begonia metallica,AM,,,,
Begonia rex,AM,,,,
Begonia semperflorens,AM,,,,
Beilschmiedia pendula,AM,,,,
Beilschmiedia tarairi,AM,,,,
Bellis perennis,AMNM,,,,
Berberis amurensis,AMNM,,,,
Berberis canadensis,AM,,,,
Berberis darwinii,NM,,,,
Berberis heteropoda,AM,,,,
Berberis microphylla,AM,,,,
Berberis oblonga,AM,,,,
Berberis sibirica,AM,,,,
Berberis thunbergii,AM,,,,
Berberis vulgaris,AM,,,,
Berkheya coddii,AM,,,,
Berlinia bracteosa,EM,,,,
Berlinia confusa,EM,,,,
Berteroa incana,NM,,,,
Berula erecta,AMNM,,,,
Beta vulgaris,AM,,,,
Betonica officinalis,AM,,,,
Betula alleghaniensis,EM,,,,
Betula costata,EM,,,,
Betula davurica,EM,,,,
Betula ermanii,EM,,,,
Betula fruticosa,EM,,,,
Betula glandulosa,EM,,,,
Betula humilis,EM,,,,
Betula lenta,EM,,,,
Betula lutea,EM,,,,
Betula microphylla,EM,,,,
Betula nana,EM,,,,
Betula occidentalis,EM,,,,
Betula papyrifera,EM,,,,
Betula pendula,EM,,,,
Betula platyphylla,EM,,,,
Betula populifolia,EM,,,,
Betula pubescens,EM,,,,
Betula raddeana,EM,,,,
Betula rotundifolia,EM,,,,
Betula schmidtii,EM,,,,
Bidens asymmetrica,AM,,,,
Bidens bipinnata,AM,,,,
Bidens cosmoides,AM,,,,
Bidens frondosa,AM,,,,
Bidens pilosa,AM,,,,
Bidens sandvicensis,AM,,,,
Bidens tripartita,AMNM,,,,
Biebersteinia multifida,AM,,,,
Biscutella laevigata,AMNM,,,,
Bistorta bistortoides,AM,,,,
Bistorta officinalis,EM,,,,
Bistorta vivipara,EM,,,,
Bitteria digitata,NM,,,,
Bitteria pilulifera,NM,,,,
Blackstonia perfoliata,AMNM,,,,
Blainvillea acmella,AM,,,,
Blennodia pterosperma,NM,,,,
Blighia welwitschii,AM,,,,
Blysmopsis rufa,AM,,,,
Boehmeria zollingeriana,AM,,,,
Boerhavia repens,NM,,,,
Bolboschoenus fluviatilis,AM,,,,
Bolboschoenus maritimus,AMNM,,,,
Bolboschoenus robustus,AM,,,,
Bombax ceiba,AM,,,,
Bonellia macrocarpa,AM,,,,
Borago officinalis,AMNM,,,,
Boronia thujona,AM,,,,
Bossiaea obcordata,AM,,,,
Bothriochloa bladhii,AM,,,,
Bothriochloa ischaemum,AM,,,,
Bothriochloa pertusa,AM,,,,
Bougainvillea spectabilis,AMNM,,,,
Bourreria sonorae,AM,,,,
Bouteloua curtipendula,AM,,,,
Bouteloua dactyloides,AM,,,,
Bouteloua eriopoda,AM,,,,
Bouteloua gracilis,AM,,,,
Bouteloua repens,AM,,,,
Brachiaria eruciformis,AM,,,,
Brachyloma daphnoides,AM,,,,
Brachypodium distachyon,AMNM,,,,
Brachypodium pinnatum,AMNM,,,,
Brachypodium retusum,AM,,,,
Brachypodium rupestre,AM,,,,
Brachypodium sylvaticum,AM,,,,
Brachystegia cynometroides,EM,,,,
Brachystegia eurycoma,EM,,,,
Brachystegia laurentii,EM,,,,
Brachystegia leonensis,EM,,,,
Brachystegia zenkeri,EM,,,,
Brassica juncea,NM,,,,
Brassica napus,AMNM,,,,
Brassica nigra,NM,,,,
Brassica oleracea,AMNM,,,,
Brassica rapa,NM,,,,
Braya glabella,NM,,,,
Breynia disticha,NM,,,,
Breynia fruticosa,AM,,,,
Brickellia eupatorioides,AM,,,,
Brighamia insignis,AM,,,,
Briza marcowiczii,AM,,,,
Briza maxima,AM,,,,
Briza media,AMNM,,,,
Briza minor,AM,,,,
Bromopsis ornans,AM,,,,
Bromus arvensis,AM,,,,
Bromus benekenii,AM,,,,
Bromus briziformis,AM,,,,
Bromus carinatus,AM,,,,
Bromus catharticus,AM,,,,
Bromus danthoniae,AM,,,,
