"study","campaign","species_plant","natural","leaf_habit","leaf_shape","plant_group","growth_form","woodiness","season","climate_class","log","lat","elevation","map","mat","mean_offset","se_offset","n_offset","mean_dexcess","se_dexcess","mean_lcexcess","se_lcexcess","SWLslope","SWLslope.std.error","SWLslope.pvalue","SWLintercept","SWLintercept.std.error","SWLintercept.pvalue","SWLrsquared","n_SWL","lang","absoluteOffset"
"Hartsough-2008","Hartsough-2008-2004-NA","Pinus hartwegii","natural","evergreen","narrowleaved","gymnosperm","tree","tree","dry","tropical",-103.3,19.56,3800,1017,21,-0.500851134725593,0.682529119526767,18,12.0888888888889,0.679911993963352,1.99711111111111,0.669917002414073,8.04289719016885,0.44993919830365,2.43884062662956e-08,13.1764782580351,5.71026491806472,0.0464255145618434,0.972605593365155,11,48.4285714285714,0.500851134725593
"Herve-2016","Herve-2016-201310-EP","Eucalyptus nitens","natural",NA,NA,NA,NA,NA,"wet","warm",-73.236,-39.829,35,2260,11.2,5.69755290686298,0.853804174241737,5,15.857734,0.747213259247987,1.60056359999999,0.97158897859711,7.10302865223559,0.3812346528106,1.69483226307489e-08,3.48664250806199,1.9826403036352,0.112512666987077,0.974728910670476,11,201.785714285714,5.69755290686298
"Herve-2016","Herve-2016-201310-NF","several","natural","evergreen",NA,NA,"tree","tree","wet","warm",-73.236,-39.829,336,2260,11.2,-2.95167837121993,0.473441026968854,7,14.0115485714286,0.585409225147464,-1.56622914285714,0.638092406143653,7.11171218692461,0.363847093500247,1.11172706378045e-08,8.2777453986988,2.77927550539451,0.0154901955661621,0.976984539123306,11,201.785714285714,2.95167837121993
"Holland-2006","Holland-2006-200102-YARRA","Eucalyptus largiflorens","natural","evergreen","broadleaved","angiosperm","tree","tree","dry","arid",140.9833,-34.7333,54,295,16.5,-0.0423703006577041,1.65269400330645,2,-13.27,2.65,-21.224,2.52,4.93136616401984,0.631224068586189,0.000550827912052982,-12.8747368082046,1.73934181939933,0.000708193246112604,0.924280716613728,7,17.8787878787879,0.0423703006577041
"Jia_Debin-2018","Jia_Debin-2018-201508-NA","Populus pseudo-simonii","natural","deciduous","broadleaved","angiosperm","tree","tree","wet","arid",113.55,44.156,970,197,2.8,29.0224653877224,NA,1,10.42837,NA,3.5386575,NA,6.37713269123698,0.72479688205184,0.000314741404455647,-30.7773659914336,4.58609045555143,0.00111229846123709,0.939330534344475,7,70.3571428571428,29.0224653877224
"Jia_Debin-2018","Jia_Debin-2018-201509-NA","Populus pseudo-simonii","natural","deciduous","broadleaved","angiosperm","tree","tree","wet","arid",113.55,44.156,970,197,2.8,36.3268479905117,NA,1,9.97744000000001,NA,2.52251350000001,NA,5.56250540965644,1.37820257427075,0.00996141192418546,-46.7678370498475,5.65449807982572,0.000421516127395477,0.765145347913137,7,70.3571428571428,36.3268479905117
"Jones-2020","Jones-2020-201712-Long Broadwater","Eucalyptus camaldulensis","natural","evergreen","broadleaved","angiosperm","tree","tree","wet","arid",151.22,-27.37,350,626,18.8,8.97209309913526,0.737101263251362,2,5.931775,5.311405,-5.584092,3.838024,3.96398022115581,0.819255365735345,0.000181514282692153,-11.6273134204064,2.69611407034059,0.000536371001979093,0.594024418920916,18,33.2978723404255,8.97209309913526
"Jones-2020","Jones-2020-201712-Long Swamp","Eucalyptus camaldulensis","natural","evergreen","broadleaved","angiosperm","tree","tree","wet","arid",151.09,-27.34,338,646,18.8,-9.97518165269578,7.71160997959562,2,-36.06363,18.85575,-39.1232245,15.1331935,4.10821702060783,0.604106024284863,4.92955817319284e-07,-9.05319967750452,2.27920140894512,0.000565389743357128,0.658346770983751,26,34.3617021276596,9.97518165269578
"Jones-2020","Jones-2020-201802-Burunga Lane","Eucalyptus camaldulensis","natural","evergreen","broadleaved","angiosperm","tree","tree","wet","arid",149.71,-25.71,195,658,20.4,-24.6965970213328,7.64294440885791,2,-34.091425,11.292745,-38.930479,9.668018,5.07966891146345,0.707781766364093,2.20163371745455e-06,-0.609245525292123,3.21672159831778,0.852161507552547,0.762989964009991,18,32.2549019607843,24.6965970213328
"Jones-2020","Jones-2020-201802-Glenburnie","Eucalyptus camaldulensis","natural","evergreen","broadleaved","angiosperm","tree","tree","wet","arid",150.9,-27.8,270,658,18.8,5.54359568925918,0.186810560163408,2,9.3176,1.12126,-3.300472,0.729622000000001,3.65800119443866,0.482091093622342,1.84151062913977e-08,-9.14535261527861,2.13793743970928,0.00017713492060215,0.657434161288233,32,35,5.54359568925918
